Name,CombatClass,ATK,STR,DEF,MAG,RNG,AGI,Notes
Troll,BRUTE,11,17,9,1,1,15,
Infernal mage,MYSTIC,1,1,18,23,1,45,
Jelly,MYSTIC,14,14,36,14,1,30,Overrides TANK — MYSTIC correct for magical melee?
Warped jelly,MYSTIC,29,27,21,29,1,30,Overrides TANK
Kalphite,BRUTE,6,6,6,1,1,45,
Kalphite soldier,BRUTE,21,21,21,1,1,30,
Kalphite guardian,TANK,33,33,33,1,1,30,
Kalphite worker,BRUTE,6,6,6,1,1,45,
Kurask,TANK,20,32,32,1,1,30,
Lizardman,PREDATOR,13,13,13,1,13,45,
Lizardman brute,BRUTE,20,20,20,1,1,30,
Lizardman shaman,TITAN,36,36,42,39,36,45,
Mogre,BRUTE,17,17,14,1,1,30,
Nechryael,PREDATOR,29,29,32,1,1,45,
Greater nechryael,PREDATOR,59,59,26,1,1,45,
Pyrefiend,MYSTIC,16,9,7,1,1,45,
Rockslugs,TANK,7,8,8,1,1,15,
Smoke devil,STALKER,42,39,83,1,59,60,
Spiritual warrior,BRUTE,30,30,30,1,1,45,
Spiritual mage,MYSTIC,1,1,18,54,1,45,
Spiritual ranger,STALKER,1,1,24,1,42,60,
Suqah,PREDATOR,29,29,29,1,1,45,
Turoth,BRUTE,16,25,25,1,1,45,BRUTE for a slayer monster that requires leaf-bladed weapon — feels off?
Vampyre,PREDATOR,17,18,17,12,1,45,
Feral vampyre,PREDATOR,17,18,17,12,1,45,
Vyrewatch,STALKER,32,26,26,32,32,60,
Waterfiend,MYSTIC,1,1,38,32,32,30,
Wyrm,STALKER,26,18,24,24,24,45,
Wyvern,TITAN,38,35,36,38,36,45,
Ancient wyvern,TITAN,45,45,45,27,27,45,
Skeletal wyvern,TITAN,38,35,36,38,36,45,
Fossil island wyvern,TITAN,38,36,27,27,27,45,
Warped tortoise,TANK,23,32,23,15,1,15,
Tortoise,TANK,5,27,24,1,1,15,
Zombie pirate,BRUTE,6,3,6,1,1,15,
Baby blue dragon,NIMBLE,12,12,12,1,1,45,NIMBLE for a baby dragon — flavour fine?
Baby green dragon,NIMBLE,12,12,12,1,1,45,
Green dragon,PREDATOR,20,20,20,20,1,30,
Blue dragon,TITAN,29,29,29,1,1,30,
Red dragon,TITAN,39,39,39,1,1,30,
Black dragon,TITAN,60,60,60,30,1,30,
Lava dragon,TITAN,72,66,66,1,1,30,
Bronze dragon,TITAN,34,34,34,30,1,30,
Iron dragon,TITAN,50,50,50,30,1,30,
Steel dragon,TITAN,65,65,65,30,1,30,
Mithril dragon,APEX,80,80,80,50,50,45,
Adamant dragon,APEX,84,84,82,56,56,45,
Rune dragon,APEX,85,85,83,59,74,45,
Brutal black dragon,APEX,90,63,78,75,1,30,
Brutal red dragon,APEX,90,63,60,75,1,30,
Brutal blue dragon,APEX,90,60,60,60,1,30,
Brutal green dragon,TITAN,80,50,50,50,1,30,
Chaos druid warrior,BRUTE,10,10,8,1,1,45,
Dark warrior,BRUTE,23,23,17,1,1,45,
Ice warrior,BRUTE,14,14,14,1,1,30,
Ice spider,PREDATOR,15,17,13,1,1,45,
Scurrius,APEX,90,30,18,15,15,60,ATK primary spike; AGI=60 — rat boss feels right
Giant Mole,APEX,60,60,60,60,1,45,
King Black Dragon,APEX,72,72,72,72,1,30,
Chaos Elemental,APEX,81,81,81,81,81,75,
Chaos Fanatic,MYSTIC,1,1,66,60,1,45,
Crazy Archaeologist,STALKER,1,1,54,1,59,60,
Scorpia,PREDATOR,75,45,54,1,1,45,
Deranged Archaeologist,STALKER,1,1,75,1,72,45,
Sarachnis,APEX,60,72,45,45,90,45,
Hespori,MYSTIC,1,1,36,38,45,30,
Obor,TITAN,27,30,18,1,36,30,
Bryophyta,TITAN,39,30,30,27,1,15,
Cerberus,APEX,66,66,30,66,66,45,
Kraken,MYSTIC,1,1,1,1,1,30,Kraken has no OSRS combat stats — all 1s
Thermonuclear smoke devil,STALKER,69,66,90,1,90,60,
Alchemical Hydra,APEX,30,30,30,78,78,45,
Zulrah,APEX,1,1,90,90,90,45,DEF+MAG+RNG all maxed — correct for Zulrah
Vorkath,APEX,90,90,64,45,90,30,
Phantom Muspah,APEX,84,84,60,45,84,45,
Duke Sucellus,APEX,90,90,83,90,1,30,
The Leviathan,APEX,90,90,75,48,48,45,
Vardorvis,APEX,84,90,65,65,1,45,
The Whisperer,APEX,84,84,75,54,54,60,
Nex,APEX,90,60,78,69,90,75,
TzTok-Jad,APEX,90,90,90,90,90,15,All 90 — low AGI for immobile fire beast
TzKal-Zuk,APEX,90,90,78,45,90,30,
Araxxor,APEX,90,90,41,57,63,60,
Hueycoatl,APEX,84,84,60,66,66,45,
Sol Heredit,APEX,90,90,60,90,90,60,
Amoxliatl,MYSTIC,1,1,24,51,1,30,
Callisto,APEX,90,90,68,42,60,30,
Artio,APEX,75,81,45,27,36,30,
Venenatis,APEX,90,60,90,90,90,45,
Spindel,APEX,60,39,68,71,86,45,
Vet'ion,APEX,90,90,90,90,1,30,
Calvar'ion,APEX,75,75,68,53,1,30,
Corporeal Beast,APEX,90,90,90,90,45,15,
Commander Zilyana,APEX,84,59,90,90,75,75,
General Graardor,APEX,84,90,75,24,90,30,
K'ril Tsutsaroth,APEX,90,90,81,60,1,45,
Kree'arra,APEX,90,60,78,60,90,75,
Dagannoth Rex,APEX,77,77,77,1,77,30,
Dagannoth Prime,APEX,77,77,77,77,1,30,
Dagannoth Supreme,APEX,77,77,38,77,77,30,
Dusk,APEX,60,42,30,42,42,30,
Dawn,APEX,42,42,30,30,42,45,
The Nightmare,APEX,45,45,45,45,45,45,
Phosani's Nightmare,APEX,45,45,45,45,45,45,
Ahrim the Blighted,MYSTIC,1,1,30,30,1,30,
Dharok the Wretched,TITAN,30,30,30,1,1,30,
Guthan the Infested,BRUTE,30,30,30,1,1,30,
Karil the Tainted,STALKER,1,1,30,1,30,60,
Torag the Corrupted,TANK,30,30,30,1,1,15,
Verac the Defiled,BRUTE,30,30,30,1,1,30,
Tekton,TANK,90,90,62,62,1,15,
Great Olm,APEX,75,75,45,75,75,30,
Vespula,STALKER,45,45,26,26,45,60,
Maiden of Sugadinti,APEX,90,90,60,90,90,45,
Pestilent Bloat,APEX,75,90,30,45,54,30,
Sotetseg,APEX,75,75,60,75,75,30,
Xarpus,STALKER,1,1,75,66,30,30,
Verzik Vitur,APEX,90,90,45,90,90,45,
Akkha,APEX,30,42,24,30,30,60,
Ba-Ba,TITAN,45,48,24,30,1,45,
Kephri,MYSTIC,1,1,24,38,1,30,
Zebak,APEX,75,42,21,30,36,30,
Tumeken's Warden,APEX,90,45,45,57,57,45,
Elidinis' Warden,APEX,90,45,45,57,57,45,
Abyssal Sire,APEX,54,41,75,60,1,30,
