Name,ATK,STR,DEF,MAG,RNG,AGI
Cave horror,24,23,19,24,1,45
Dagannoth,20,21,15,1,1,60
Dark beast,42,48,36,48,1,30
Drake,42,35,36,34,42,45
Dust devil,32,21,12,1,1,40
Fever spider,18,9,12,1,1,60
Fleshcrawler,18,1,3,1,1,60
Gargoyle,35,35,32,1,1,42
Hellhound,32,31,31,1,1,45
Hydra,1,1,30,63,63,30
Ice troll,30,30,36,1,1,15
Mountain troll,12,23,12,1,1,15
Troll,11,17,9,1,1,15
Infernal mage,1,1,18,23,1,45
Jelly,14,14,36,14,1,30
Warped jelly,29,27,21,29,1,30
Kalphite soldier,21,21,21,1,1,20
Kalphite guardian,33,33,33,1,1,25
Kalphite worker,6,6,6,1,1,45
Kurask,20,32,32,1,1,30
Lizardman,13,13,13,1,13,45
Lizardman brute,20,20,20,1,1,30
Lizardman shaman,36,36,42,39,36,45
Mogre,17,17,14,10,1,22
Nechryael,29,29,32,1,1,15
Greater nechryael,59,59,26,1,1,15
Pyrefiend,16,9,7,1,1,25
Rockslugs,7,8,8,1,1,15
Smoke devil,1,1,40,20,66,45
Spiritual warrior,30,30,30,1,1,30
Spiritual mage,1,1,18,54,1,30
Spiritual ranger,1,1,24,1,42,30
Suqah,29,29,29,1,1,25
Turoth,16,25,25,1,1,45
Vampyre,17,18,17,12,1,33
Vyrewatch,32,26,26,32,32,60
Waterfiend,1,1,38,32,32,30
Wyrm,26,18,24,24,24,20
Wyvern,38,35,36,38,36,22
Ancient wyvern,45,45,45,27,27,22
Skeletal wyvern,38,35,36,38,36,22
Fossil island wyvern,38,36,27,27,27,22
Warped tortoise,23,32,23,15,1,15
Tortoise,5,27,24,1,1,15
Zombie pirate,6,3,6,1,1,15
Baby blue dragon,12,12,12,5,1,22
Baby green dragon,12,12,12,5,1,22
Green dragon,20,20,20,55,1,35
Blue dragon,29,29,29,55,1,45
Red dragon,39,39,39,55,1,35
Black dragon,58,58,58,55,1,35
Lava dragon,60,60,60,55,1,40
Bronze dragon,45,46,46,55,1,20
Iron dragon,47,47,47,55,1,22
Steel dragon,50,50,50,55,1,25
Mithril dragon,55,55,55,55,55,30
Adamant dragon,60,60,60,56,56,35
Rune dragon,67,67,67,67,67,40
Brutal black dragon,64,64,64,55,1,32
Brutal red dragon,62,62,62,55,1,30
Brutal blue dragon,60,60,60,55,1,30
Brutal green dragon,58,57,56,50,1,30
Dark warrior,23,23,17,1,1,25
Ice warrior,14,14,14,1,1,25
Ice spider,15,17,13,1,1,45
Scurrius,64,30,18,45,41,33
Giant Mole,40,40,68,20,1,65
King Black Dragon,72,72,72,72,65,30
Chaos Elemental,60,60,60,65,65,55
Chaos Fanatic,1,1,66,60,1,33
Crazy Archaeologist,1,1,54,1,59,33
Scorpia,65,70,50,1,1,37
Deranged Archaeologist,1,1,70,1,70,33
Sarachnis,60,69,45,45,65,45
Hespori,1,1,42,45,45,1
Obor,32,32,18,5,32,5
Bryophyta,24,24,30,45,1,5
Cerberus,57,57,60,52,60,20
Kraken,1,1,50,66,1,15
Thermonuclear smoke devil,1,1,50,66,72,40
Alchemical Hydra,30,30,30,72,72,40
Zulrah,1,1,75,75,75,60
Vorkath,75,75,70,60,75,5
Phantom Muspah,75,75,61,55,84,44
Duke Sucellus,85,85,80,78,1,1
The Leviathan,85,85,82,83,84,10
Vardorvis,90,90,72,30,1,50
The Whisperer,75,75,75,54,54,42
Nex,90,81,78,69,90,75
TzTok-Jad,75,75,70,85,85,15
TzKal-Zuk,90,90,85,65,65,1
Araxxor,77,77,41,44,63,60
Hueycoatl,62,62,60,62,62,25
Sol Heredit,90,90,75,60,60,30
Amoxliatl,1,1,24,55,1,35
Callisto,85,85,65,60,60,15
Artio,75,81,48,45,39,17
Venenatis,80,70,65,65,65,45
Spindel,60,49,48,71,62,48
Vet'ion,80,80,70,70,1,31
Calvar'ion,65,65,52,55,1,35
Corporeal Beast,82,82,90,80,35,10
Commander Zilyana,80,70,70,60,10,75
General Graardor,60,80,72,10,70,10
K'ril Tsutsaroth,65,70,72,27,1,15
Kree'arra,60,60,72,65,82,40
Dagannoth Rex,70,70,60,1,1,30
Dagannoth Prime,1,1,60,77,1,30
Dagannoth Supreme,1,1,55,1,77,30
Dusk,50,42,30,42,42,30
Dawn,42,42,30,30,42,40
The Nightmare,70,70,45,70,70,40
Phosani's Nightmare,75,75,45,75,75,40
Ahrim the Blighted,1,1,30,40,1,30
Dharok the Wretched,10,65,50,1,1,10
Guthan the Infested,30,50,30,1,1,10
Karil the Tainted,1,1,40,1,55,25
Torag the Corrupted,30,50,60,1,1,10
Verac the Defiled,40,30,50,1,10,30
Tekton,90,90,70,5,50,5
Great Olm,75,75,65,85,85,15
Vespula,1,1,26,26,60,75
Maiden of Sugadinti,40,40,70,80,80,1
Pestilent Bloat,55,60,75,45,70,48
Sotetseg,75,75,66,75,75,15
Xarpus,1,1,75,30,66,12
Verzik Vitur,80,80,77,82,72,40
Akkha,70,70,45,70,70,30
Ba-Ba,65,68,46,30,66,45
Kephri,15,44,42,65,55,30
Zebak,55,75,55,55,55,10
Tumeken's Warden,80,85,48,77,75,15
Elidinis' Warden,80,85,48,77,75,15
Abyssal Sire,54,41,75,60,1,15
