Name,Class,Species,Difficulty,BossTier
Dark warrior,BRUTE,HUMAN,HARD,
Dark wizard,MYSTIC,HUMAN,BEGINNER,
Dawn,APEX,OTHER,BOSS,accessible
Deranged Archaeologist,RANGER,HUMAN,BOSS,accessible
- REMOVE THIS - X - Desert lizard,NIMBLE,ANIMAL,EASY,
Deviant spectre,MYSTIC,UNDEAD,HARD,
Dharok the Wretched,TANK,UNDEAD,BOSS,accessible
Drake,TITAN,WYRM,HARD,
Duck,NIMBLE,ANIMAL,BEGINNER,
Duke Sucellus,JUGGERNAUT,DEMON,BOSS,endgame
Dusk,APEX,OTHER,BOSS,accessible
Dust devil,PREDATOR,DEMON,MEDIUM,
Earth warrior,BRUTE,OTHER,EASY,
Elidinis' Warden,APEX,OTHER,BOSS,endgame
Farmer,BRUTE,HUMAN,BEGINNER,
- REMOVE THIS - X - Feral vampyre,PREDATOR,UNDEAD,MEDIUM,
Fever spider,NIMBLE,INSECT,EASY,
Fire giant,TANK,GIANT,MEDIUM,
Fleshcrawler,NIMBLE,INSECT,EASY,
Fossil island wyvern,TITAN,WYRM,HARD,
Gargoyle,TANK,OTHER,HARD,
Gemstone crab,TANK,ANIMAL,BOSS,accessible
General Graardor,JUGGERNAUT,GIANT,BOSS,mid
Ghost,STALKER,UNDEAD,EASY,
Giant Mole,JUGGERNAUT,ANIMAL,BOSS,accessible
Giant rat,NIMBLE,ANIMAL,BEGINNER,
Giant spider,NIMBLE,INSECT,EASY,
Goblin,BRUTE,GOBLINOID,BEGINNER,
Great Olm,ARCHON,DRAGON,BOSS,endgame
Greater demon,BRUTE,DEMON,HARD,
Greater nechryael,PREDATOR,DEMON,HARD,
Green dragon,TITAN,DRAGON,MEDIUM,
Grizzly bear,BRUTE,ANIMAL,BEGINNER,
Guard,BRUTE,HUMAN,EASY,
Guthan the Infested,BRUTE,UNDEAD,BOSS,accessible
Hellhound,PREDATOR,DEMON,HARD,
Hespori,TITAN,OTHER,BOSS,accessible
Hill giant,BRUTE,GIANT,EASY,
Hobgoblin,BRUTE,GOBLINOID,EASY,
Hueycoatl,APEX,OTHER,BOSS,accessible
Hydra,STALKER,WYRM,ELITE,
Ice giant,TANK,GIANT,EASY,
Ice spider,NIMBLE,INSECT,EASY,
Ice troll,TANK,TROLL,MEDIUM,
Ice warrior,BRUTE,HUMAN,EASY,
Imp,NIMBLE,DEMON,BEGINNER,
Infernal mage,MYSTIC,DEMON,MEDIUM,
Iron dragon,TITAN,DRAGON,MEDIUM,
Jelly,BRUTE,OTHER,MEDIUM,
K'ril Tsutsaroth,APEX,DEMON,BOSS,mid
- X - REMOVE THIS - X - Kalphite,BRUTE,KALPHITE,MEDIUM,
Kalphite guardian,TANK,KALPHITE,HARD,
Kalphite soldier,BRUTE,KALPHITE,MEDIUM,
Kalphite worker,BRUTE,KALPHITE,MEDIUM,
Karil the Tainted,RANGER,UNDEAD,BOSS,accessible
Kephri,APEX,INSECT,BOSS,endgame
King Black Dragon,APEX,DRAGON,BOSS,accessible
- X - REMOVE THIS - King scorpion,TANK,INSECT,EASY,
Kraken,MYSTIC,ANIMAL,ELITE,
Kree'arra,ARCHON,OTHER,BOSS,mid
Kurask,TANK,OTHER,HARD,
Lava dragon,TITAN,DRAGON,HARD,
Lesser demon,BRUTE,DEMON,MEDIUM,
Lizardman,PREDATOR,OTHER,MEDIUM,
Lizardman brute,BRUTE,OTHER,MEDIUM,
Lizardman shaman,TITAN,OTHER,HARD,
Maiden of Sugadinti,APEX,UNDEAD,BOSS,endgame
Man,BRUTE,HUMAN,BEGINNER,
Minotaur,TANK,OTHER,BEGINNER,
Mithril dragon,TITAN,DRAGON,HARD,
Mogre,BRUTE,OTHER,MEDIUM,
Moss giant,TANK,GIANT,EASY,
Mountain troll,BRUTE,TROLL,MEDIUM,
Mutated bloodveld,STALKER,DEMON,HARD,
Nechryael,PREDATOR,DEMON,MEDIUM,
Nex,ARCHON,OTHER,BOSS,endgame
Obor,TITAN,GIANT,BOSS,accessible
Pestilent Bloat,APEX,OTHER,BOSS,endgame
Phantom Muspah,APEX,OTHER,BOSS,mid
Phosani's Nightmare,APEX,OTHER,BOSS,mid
Pirate,BRUTE,HUMAN,EASY,
Pyrefiend,MYSTIC,DEMON,EASY,
Ram,,ANIMAL,BEGINNER,
Rat,NIMBLE,ANIMAL,BEGINNER,
Red dragon,TITAN,DRAGON,MEDIUM,
Rock crab,TANK,ANIMAL,BEGINNER,
Rockslugs,TANK,OTHER,EASY,
Rogue,BRUTE,HUMAN,EASY,
Rune dragon,APEX,DRAGON,ELITE,
Sand crab,TANK,ANIMAL,BEGINNER,
Sarachnis,APEX,INSECT,BOSS,accessible
Scorpia,PREDATOR,INSECT,BOSS,accessible
Scorpion,TANK,INSECT,EASY,
Scurrius,APEX,ANIMAL,BOSS,accessible
Seagull,NIMBLE,ANIMAL,BEGINNER,
Skeletal wyvern,TITAN,WYRM,HARD,
Skeleton,BRUTE,UNDEAD,EASY,
Smoke devil,STALKER,DEMON,MEDIUM,
Sol Heredit,JUGGERNAUT,HUMAN,BOSS,endgame
Sotetseg,ARCHON,DEMON,BOSS,endgame
Spider,NIMBLE,INSECT,BEGINNER,
Spindel,APEX,INSECT,BOSS,mid
Spiritual mage,MYSTIC,UNDEAD,MEDIUM,
Spiritual ranger,RANGER,UNDEAD,MEDIUM,
Spiritual warrior,BRUTE,UNDEAD,MEDIUM,
Steel dragon,TITAN,DRAGON,HARD,
Suqah,PREDATOR,OTHER,HARD,
Swamp crab,TANK,ANIMAL,EASY,
Tekton,JUGGERNAUT,GIANT,BOSS,endgame
The Leviathan,ARCHON,OTHER,BOSS,endgame
The Nightmare,APEX,OTHER,BOSS,mid
The Whisperer,ARCHON,OTHER,BOSS,endgame
Thermonuclear smoke devil,RANGER,DEMON,BOSS,mid
Torag the Corrupted,TANK,UNDEAD,BOSS,accessible
Tortoise,TANK,ANIMAL,MEDIUM,
Troll,BRUTE,TROLL,MEDIUM,
Tumeken's Warden,APEX,OTHER,BOSS,endgame
Turoth,BRUTE,OTHER,MEDIUM,
Twisted banshee,MYSTIC,UNDEAD,MEDIUM,
TzKal-Zuk,ARCHON,OTHER,BOSS,endgame
TzTok-Jad,APEX,OTHER,BOSS,endgame
Unicorn,NIMBLE,ANIMAL,BEGINNER,
Vampyre,PREDATOR,UNDEAD,MEDIUM,
Vardorvis,JUGGERNAUT,UNDEAD,BOSS,endgame
Venenatis,APEX,INSECT,BOSS,mid
Verac the Defiled,BRUTE,UNDEAD,BOSS,accessible
Verzik Vitur,ARCHON,UNDEAD,BOSS,endgame
Vespula,STALKER,INSECT,BOSS,endgame
Vet'ion,JUGGERNAUT,UNDEAD,BOSS,mid
Vorkath,ARCHON,DRAGON,BOSS,mid
Vyrewatch,STALKER,UNDEAD,MEDIUM,
Warped jelly,MYSTIC,OTHER,MEDIUM,
Warped tortoise,TANK,ANIMAL,MEDIUM,
Warrior,BRUTE,HUMAN,EASY,
Waterfiend,MYSTIC,DEMON,HARD,
White knight,BRUTE,HUMAN,MEDIUM,
Wizard,MYSTIC,HUMAN,EASY,
Woman,BRUTE,HUMAN,BEGINNER,
Wyrm,STALKER,WYRM,HARD,
Wyvern,TITAN,WYRM,HARD,
Xarpus,STALKER,UNDEAD,BOSS,endgame
Zebak,APEX,ANIMAL,BOSS,endgame
Zombie,BRUTE,UNDEAD,EASY,
Zombie pirate,BRUTE,UNDEAD,MEDIUM,
Zulrah,ARCHON,OTHER,BOSS,mid
