Name,Dex,Difficulty,CombatClass,Species,ATK,STR,DEF,MAG,RNG,AGI,BossFloor,WikiNameOverride,Flags,Notes
Iron dragon,101,MEDIUM,TITAN,DRAGON,50,50,50,30,1,30,,,,
Jelly,102,MEDIUM,MYSTIC,OTHER,14,14,36,14,1,30,,,no_species(OTHER),
K'ril Tsutsaroth,103,BOSS,APEX,DEMON,90,90,81,60,1,45,mid,,,
Kalphite,104,MEDIUM,BRUTE,KALPHITE,6,6,6,1,1,45,,Kalphite Worker,,
Kalphite guardian,105,HARD,TANK,KALPHITE,33,33,33,1,1,30,,Kalphite Guardian,,
Kalphite soldier,106,MEDIUM,BRUTE,KALPHITE,21,21,21,1,1,30,,Kalphite Soldier,,
Kalphite worker,107,MEDIUM,BRUTE,KALPHITE,6,6,6,1,1,45,,Kalphite Worker,,
Karil the Tainted,108,BOSS,RANGER,UNDEAD,1,1,30,1,30,60,accessible,,,
Kephri,109,BOSS,MYSTIC,INSECT,1,1,24,38,1,30,endgame,,,
King Black Dragon,110,BOSS,JUGGERNAUT,DRAGON,72,72,72,72,65,30,mid,,,
King scorpion,111,EASY,TANK,INSECT,9,9,7,1,1,45,,King Scorpion,,
Kraken,112,ELITE,MYSTIC,ANIMAL,1,1,50,50,1,1,,,,
Kree'arra,113,BOSS,ARCHON,OTHER,90,60,78,60,90,75,mid,,no_species(OTHER),
Kurask,114,HARD,TANK,OTHER,20,32,32,1,1,30,,,no_species(OTHER),
Lava dragon,115,HARD,TITAN,DRAGON,72,66,66,1,1,30,,,,
Lesser demon,116,MEDIUM,BRUTE,DEMON,20,21,21,1,1,30,,,,
Lizardman,117,MEDIUM,PREDATOR,OTHER,13,13,13,1,13,45,,,no_species(OTHER),
Lizardman brute,118,MEDIUM,BRUTE,OTHER,20,20,20,1,1,30,,,no_species(OTHER),
Lizardman shaman,119,HARD,TITAN,OTHER,36,36,42,39,36,45,,,no_species(OTHER),
Maiden of Sugadinti,120,BOSS,APEX,UNDEAD,90,90,60,90,90,45,endgame,The Maiden of Sugadinti,,
Man,121,BEGINNER,BRUTE,HUMAN,1,1,1,1,1,45,,,,
Minotaur,122,BEGINNER,TANK,OTHER,7,8,8,1,1,30,,,no_species(OTHER),
Mithril dragon,123,HARD,JUGGERNAUT,DRAGON,80,80,80,50,50,45,,,,
Mogre,124,MEDIUM,BRUTE,OTHER,17,17,14,1,1,30,,,no_species(OTHER),
Moss giant,125,EASY,TANK,GIANT,9,9,9,1,1,15,,,,
Mountain troll,126,MEDIUM,BRUTE,TROLL,12,23,12,1,1,15,,,,
Mutated bloodveld,127,HARD,STALKER,DEMON,33,35,9,1,1,45,,Mutated Bloodveld,,
Nechryael,128,MEDIUM,PREDATOR,DEMON,29,29,32,1,1,45,,,,
Nex,129,BOSS,ARCHON,OTHER,90,60,78,69,90,75,endgame,,no_species(OTHER),
Obor,130,BOSS,TITAN,GIANT,27,30,18,1,36,30,accessible,,,
Pestilent Bloat,131,BOSS,APEX,OTHER,75,90,30,45,54,30,endgame,,no_species(OTHER),
Phantom Muspah,132,BOSS,APEX,OTHER,84,84,60,45,84,45,mid,,no_species(OTHER),
Phosani's Nightmare,133,BOSS,APEX,OTHER,45,45,45,45,45,45,mid,,no_species(OTHER),
Pirate,134,EASY,BRUTE,HUMAN,6,6,6,1,1,45,,,,
Pyrefiend,135,EASY,MYSTIC,DEMON,16,9,7,1,1,45,,,,
Ram,136,BEGINNER,,ANIMAL,1,1,1,1,1,45,,,no_combatclass(tier-fallback),
Rat,137,BEGINNER,NIMBLE,ANIMAL,1,1,1,1,1,75,,,,
Red dragon,138,MEDIUM,TITAN,DRAGON,39,39,39,1,1,30,,,,
Rock crab,139,BEGINNER,TANK,ANIMAL,1,1,1,1,1,15,,Rock Crab,,
Rockslugs,140,EASY,TANK,OTHER,7,8,8,1,1,15,,Rockslug,no_species(OTHER),
Rogue,141,EASY,BRUTE,HUMAN,4,4,4,1,1,75,,,,
Rune dragon,142,ELITE,APEX,DRAGON,85,85,83,59,74,45,,,,
Sand crab,143,BEGINNER,TANK,ANIMAL,1,1,1,1,1,15,,Sand Crab,,
Sarachnis,144,BOSS,APEX,INSECT,60,72,45,45,90,45,accessible,,,
Scorpia,145,BOSS,PREDATOR,INSECT,75,45,54,1,1,45,accessible,,,
Scorpion,146,EASY,TANK,INSECT,3,4,3,1,1,60,,,,
Scurrius,147,BOSS,APEX,ANIMAL,90,30,18,15,15,60,accessible,"Scurrius, the Rat King",,
Seagull,148,BEGINNER,NIMBLE,ANIMAL,1,1,1,1,1,75,,,,
Skeletal wyvern,149,HARD,TITAN,WYRM,38,35,36,38,36,45,,Skeletal Wyvern,,
Skeleton,150,EASY,BRUTE,UNDEAD,5,5,5,1,1,30,,,,
Smoke devil,151,MEDIUM,STALKER,DEMON,42,39,83,1,59,60,,,,
Sol Heredit,152,BOSS,JUGGERNAUT,HUMAN,90,90,60,90,90,60,endgame,,,
Sotetseg,153,BOSS,ARCHON,DEMON,75,75,60,75,75,30,endgame,,,
Spider,154,BEGINNER,NIMBLE,INSECT,1,1,1,1,1,75,,,,
Spindel,155,BOSS,APEX,INSECT,60,39,68,71,86,45,mid,,,
Spiritual mage,156,MEDIUM,MYSTIC,UNDEAD,1,1,18,54,1,45,,,,
Spiritual ranger,157,MEDIUM,RANGER,UNDEAD,1,1,24,1,42,60,,,,
Spiritual warrior,158,MEDIUM,BRUTE,UNDEAD,30,30,30,1,1,45,,,,
Steel dragon,159,HARD,TITAN,DRAGON,65,65,65,30,1,30,,,,
Suqah,160,HARD,PREDATOR,OTHER,29,29,29,1,1,45,,,no_species(OTHER),
Swamp crab,161,EASY,TANK,ANIMAL,1,1,15,15,1,15,,Swamp Crab,,
Tekton,162,BOSS,JUGGERNAUT,GIANT,90,90,62,62,1,15,endgame,,,
The Leviathan,163,BOSS,ARCHON,OTHER,90,90,75,48,48,45,endgame,,no_species(OTHER),
The Nightmare,164,BOSS,APEX,OTHER,45,45,45,45,45,45,mid,,no_species(OTHER),
The Whisperer,165,BOSS,ARCHON,OTHER,84,84,75,54,54,60,endgame,,no_species(OTHER),
Thermonuclear smoke devil,166,BOSS,RANGER,DEMON,69,66,90,1,90,60,mid,,,
Torag the Corrupted,167,BOSS,TANK,UNDEAD,30,30,30,1,1,15,accessible,,,
Tortoise,168,MEDIUM,TANK,ANIMAL,5,27,24,1,1,15,,,,
Troll,169,MEDIUM,BRUTE,TROLL,11,17,9,1,1,15,,,,
Tumeken's Warden,170,BOSS,APEX,OTHER,90,45,45,57,57,45,endgame,,no_species(OTHER),
Turoth,171,MEDIUM,BRUTE,OTHER,16,25,25,1,1,45,,,no_species(OTHER),
Twisted banshee,172,MEDIUM,MYSTIC,UNDEAD,23,26,15,1,1,30,,Twisted Banshee,,
TzKal-Zuk,173,BOSS,ARCHON,OTHER,90,90,78,45,90,30,endgame,,no_species(OTHER),
TzTok-Jad,174,BOSS,APEX,OTHER,90,90,90,90,90,15,endgame,,no_species(OTHER),
Unicorn,175,BEGINNER,NIMBLE,ANIMAL,3,4,4,1,1,75,,,,
Vampyre,176,MEDIUM,PREDATOR,UNDEAD,17,18,17,12,1,45,,Feral Vampyre,,
Vardorvis,177,BOSS,JUGGERNAUT,UNDEAD,84,90,65,65,1,45,endgame,,,
Venenatis,178,BOSS,APEX,INSECT,90,60,90,90,90,45,mid,,,
Verac the Defiled,179,BOSS,BRUTE,UNDEAD,30,30,30,1,1,30,accessible,,,
Verzik Vitur,180,BOSS,ARCHON,UNDEAD,90,90,45,90,90,45,endgame,,,
Vespula,181,BOSS,STALKER,INSECT,45,45,26,26,45,60,endgame,,,
Vet'ion,182,BOSS,JUGGERNAUT,UNDEAD,90,90,90,90,1,30,mid,,,
Vorkath,183,BOSS,ARCHON,DRAGON,90,90,64,45,90,30,mid,,,
Vyrewatch,184,MEDIUM,STALKER,UNDEAD,32,26,26,32,32,60,,,,
Warped jelly,185,MEDIUM,MYSTIC,OTHER,29,27,21,29,1,30,,Warped Jelly,no_species(OTHER),
Warped tortoise,186,MEDIUM,TANK,ANIMAL,23,32,23,15,1,15,,Warped Tortoise,,
Warrior,187,EASY,BRUTE,HUMAN,2,2,1,1,1,60,,Al Kharid warrior,,
Waterfiend,188,HARD,MYSTIC,DEMON,1,1,38,32,32,30,,,,
White knight,189,MEDIUM,BRUTE,HUMAN,8,9,6,1,1,30,,White Knight,,
Wizard,190,EASY,MYSTIC,HUMAN,2,2,2,3,1,45,,,,
Woman,191,BEGINNER,BRUTE,HUMAN,1,1,1,1,1,45,,,,
Wyrm,192,HARD,STALKER,WYRM,26,18,24,24,24,45,,,,
Wyvern,193,HARD,TITAN,WYRM,38,35,36,38,36,45,,Skeletal Wyvern,,
Xarpus,194,BOSS,STALKER,UNDEAD,1,1,75,66,30,30,endgame,,,
Zebak,195,BOSS,APEX,ANIMAL,75,42,21,30,36,30,endgame,,,
Zombie,196,EASY,BRUTE,UNDEAD,2,3,3,1,1,15,,,,
Zombie pirate,197,MEDIUM,BRUTE,UNDEAD,6,3,6,1,1,15,,,,
Zulrah,198,BOSS,ARCHON,OTHER,1,1,90,90,90,45,mid,,no_species(OTHER),
